stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Hebert\Area de trabalho\Programacao\UFV\SISTEMAS DE INFORMAÇÃO - UFV\5° Semestre\Computação Orientada a objetos\Projeto\PROJETOFINAL\Pacman\bin\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.17023] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17027] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.17032] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17036] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.17040] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17044] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17049] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17055] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17062] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17073] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.17079] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17084] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.17090] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17095] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.17099] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17103] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.17107] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17111] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.17115] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17119] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.17123] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17128] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.17132] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17136] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17140] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17144] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17148] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17152] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.17156] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17160] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.17164] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17177] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.17182] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17186] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.17191] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17195] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.17199] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17203] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.17207] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17211] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.17215] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17219] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17223] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17227] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17231] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17235] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.17239] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17243] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.17247] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17252] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.17256] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17260] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.17264] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17268] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.17272] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17276] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.17280] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17284] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.17288] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17292] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17297] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17301] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17305] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17315] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17320] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17324] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17328] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17332] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17336] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17340] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17344] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
